X,Y,Z,layer,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,PH-uniqueid,PH-latD,PH-latM,PH-latSS,PH-latH,PH-lonD,PH-lonM,PH-lonSS,PH-lonH
150.9885091,-33.86900612,457.2,1500 Area-Boundary,0,0,0,0,15000000,33,52,08.42,S,150,59,18.63,E
151.074307,-33.92762608,457.2,1500 Area-Boundary,1,0,0,1,15000001,33,55,39.45,S,151,04,27.51,E
151.1100685,-33.93039493,457.2,1500 Area-Boundary,2,0,0,2,15000002,33,55,49.42,S,151,06,36.25,E
151.1592889,-33.92187778,457.2,1500 Area-Boundary,3,0,0,3,15000003,33,55,18.76,S,151,09,33.44,E
151.1654778,-33.92673611,457.2,1500 Area-Boundary,4,0,0,4,15000004,33,55,36.25,S,151,09,55.72,E
151.1761056,-33.93189167,457.2,1500 Area-Boundary,5,0,0,5,15000005,33,55,54.81,S,151,10,33.98,E
151.1857417,-33.93490278,457.2,1500 Area-Boundary,6,0,0,6,15000006,33,56,05.65,S,151,11,08.67,E
151.2091667,-33.94222222,457.2,1500 Area-Boundary,7,0,0,7,15000007,33,56,32.00,S,151,12,33.00,E
151.2527778,-33.95583334,457.2,1500 Area-Boundary,8,0,0,8,15000008,33,57,21.00,S,151,15,10.00,E
151.295,-33.94138889,457.2,1500 Area-Boundary,9,0,0,9,15000009,33,56,29.00,S,151,17,42.00,E
151.3078342,-33.92521578,457.2,1500 Area-Boundary,10,0,0,10,15000010,33,55,30.78,S,151,18,28.20,E
151.3451879,-33.85811583,457.2,1500 Area-Boundary,11,0,0,11,15000011,33,51,29.22,S,151,20,42.68,E
151.3599,-33.83165434,457.2,1500 Area-Boundary,12,0,0,12,15000012,33,49,53.96,S,151,21,35.64,E
151.3717645,-33.77401035,457.2,1500 Area-Boundary,13,0,0,13,15000013,33,46,26.44,S,151,22,18.35,E
151.3841667,-33.68916666,457.2,1500 Area-Boundary,14,0,0,14,15000014,33,41,21.00,S,151,23,03.00,E
