X,Y,Z,layer,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,PH-uniqueid,PH-latD,PH-latM,PH-latSS,PH-latH,PH-lonD,PH-lonM,PH-lonSS,PH-lonH
151.1592889,-33.92187778,518.16,1700 Area-Boundary,4,0,0,4,17000004,33,55,18.76,S,151,09,33.44,E
151.1100685,-33.93039493,518.16,1700 Area-Boundary,5,0,0,5,17000005,33,55,49.42,S,151,06,36.25,E
151.074307,-33.92762608,518.16,1700 Area-Boundary,6,0,0,6,17000006,33,55,39.45,S,151,04,27.51,E
150.9885091,-33.86900612,518.16,1700 Area-Boundary,7,0,0,7,17000007,33,52,08.42,S,150,59,18.63,E
151.1364002,-33.9903416,548.64,1800 Area-Boundary,0,0,0,0,18000000,33,59,25.23,S,151,08,11.04,E
151.1519703,-34.00482005,548.64,1800 Area-Boundary,1,0,0,1,18000001,34,00,17.35,S,151,09,07.09,E
151.1594764,-34.01626413,548.64,1800 Area-Boundary,2,0,0,2,18000002,34,00,58.55,S,151,09,34.12,E
151.1627149,-34.02473206,548.64,1800 Area-Boundary,3,0,0,3,18000003,34,01,29.04,S,151,09,45.77,E
151.2527778,-33.95583334,548.64,1800 Area-Boundary,25,1,0,1,18001025,33,57,21.00,S,151,15,10.00,E
151.2091667,-33.94222222,548.64,1800 Area-Boundary,26,1,0,2,18001026,33,56,32.00,S,151,12,33.00,E
151.2026778,-33.94019445,640.08,1800 Area-Boundary,27,1,0,3,18001027,33,56,24.70,S,151,12,09.64,E
151.2397889,-33.93043889,640.08,1800 Area-Boundary,28,1,0,4,18001028,33,55,49.58,S,151,14,23.24,E
150.9643455,-33.86746267,548.64,1800 Area-Boundary,34,2,0,0,18002034,33,52,02.87,S,150,57,51.64,E
150.9411274,-33.92177357,548.64,1800 Area-Boundary,35,2,0,1,18002035,33,55,18.38,S,150,56,28.06,E
150.9333744,-33.91016525,548.64,1800 Area-Boundary,36,2,0,2,18002036,33,54,36.59,S,150,56,00.15,E
150.9162907,-33.89540566,548.64,1800 Area-Boundary,37,2,0,3,18002037,33,53,43.46,S,150,54,58.65,E
151.1236368,-33.81906936,548.64,1800 Area-Boundary,42,3,0,0,18003042,33,49,08.65,S,151,07,25.09,E
151.1239574,-33.882034,548.64,1800 Area-Boundary,43,3,0,1,18003043,33,52,55.32,S,151,07,26.25,E
151.0415631,-33.87412717,548.64,1800 Area-Boundary,44,3,0,2,18003044,33,52,26.86,S,151,02,29.63,E
151.0675722,-33.83221667,548.64,1800 Area-Boundary,45,3,0,3,18003045,33,49,55.98,S,151,04,03.26,E
150.9205937,-33.64127897,548.64,1800 Area-Boundary,49,4,0,0,18004049,33,38,28.60,S,150,55,14.14,E
150.9179644,-33.69795905,548.64,1800 Area-Boundary,50,4,0,1,18004050,33,41,52.65,S,150,55,04.67,E
150.9050886,-33.75693671,548.64,1800 Area-Boundary,51,4,0,2,18004051,33,45,24.97,S,150,54,18.32,E
150.8644327,-33.80013852,548.64,1800 Area-Boundary,52,4,0,3,18004052,33,48,00.50,S,150,51,51.96,E
150.7536111,-33.89194445,670.56,2200 Area-Boundary,0,0,0,0,22000000,33,53,31.00,S,150,45,13.00,E
150.7528075,-33.95136421,670.56,2200 Area-Boundary,1,0,0,1,22000001,33,57,04.91,S,150,45,10.11,E
150.7670332,-33.98593807,670.56,2200 Area-Boundary,2,0,0,2,22000002,33,59,09.38,S,150,46,01.32,E
150.8146434,-33.99395721,670.56,2200 Area-Boundary,3,0,0,3,22000003,33,59,38.25,S,150,48,52.72,E
151.113966,-33.57508823,670.56,2200 Area-Boundary,36,1,0,0,22001036,33,34,30.32,S,151,06,50.28,E
151.1576404,-33.54995251,670.56,2200 Area-Boundary,37,1,0,1,22001037,33,32,59.83,S,151,09,27.51,E
151.3624324,-33.54915917,670.56,2200 Area-Boundary,38,1,0,2,22001038,33,32,56.97,S,151,21,44.76,E
151.3242189,-33.7019813,670.56,2200 Area-Boundary,39,1,0,3,22001039,33,42,07.13,S,151,19,27.19,E
150.8132437,-34.07741831,762,2500 Area-Boundary,0,0,0,0,25000000,34,04,38.71,S,150,48,47.68,E
150.8721873,-34.07080933,762,2500 Area-Boundary,1,0,0,1,25000001,34,04,14.91,S,150,52,19.87,E
150.9108654,-34.0520667,762,2500 Area-Boundary,2,0,0,2,25000002,34,03,07.44,S,150,54,39.12,E
150.9464622,-34.04892676,762,2500 Area-Boundary,3,0,0,3,25000003,34,02,56.14,S,150,56,47.26,E
